case,iter,status_code,latency_ms,prediction,timestamp_start_iso
real_2,65,200,93.69,REAL,2025-11-02T15:34:36
real_2,66,200,92.94,REAL,2025-11-02T15:34:37
real_2,67,200,89.57,REAL,2025-11-02T15:34:37
real_2,68,200,117.45,REAL,2025-11-02T15:34:37
real_2,69,200,94.28,REAL,2025-11-02T15:34:37
real_2,70,200,92.15,REAL,2025-11-02T15:34:37
real_2,71,200,93.54,REAL,2025-11-02T15:34:37
real_2,72,200,96.61,REAL,2025-11-02T15:34:37
real_2,73,200,97.29,REAL,2025-11-02T15:34:37
real_2,74,200,98.82,REAL,2025-11-02T15:34:37
real_2,75,200,98.56,REAL,2025-11-02T15:34:37
real_2,76,200,96.7,REAL,2025-11-02T15:34:37
real_2,77,200,96.64,REAL,2025-11-02T15:34:38
real_2,78,200,109.54,REAL,2025-11-02T15:34:38
real_2,79,200,100.96,REAL,2025-11-02T15:34:38
real_2,80,200,105.28,REAL,2025-11-02T15:34:38
real_2,81,200,93.3,REAL,2025-11-02T15:34:38
real_2,82,200,92.02,REAL,2025-11-02T15:34:38
real_2,83,200,94.08,REAL,2025-11-02T15:34:38
real_2,84,200,95.71,REAL,2025-11-02T15:34:38
real_2,85,200,94.31,REAL,2025-11-02T15:34:38
real_2,86,200,92.25,REAL,2025-11-02T15:34:38
real_2,87,200,99.66,REAL,2025-11-02T15:34:39
real_2,88,200,99.29,REAL,2025-11-02T15:34:39
real_2,89,200,94.26,REAL,2025-11-02T15:34:39
real_2,90,200,88.51,REAL,2025-11-02T15:34:39
real_2,91,200,96.13,REAL,2025-11-02T15:34:39
real_2,92,200,98.71,REAL,2025-11-02T15:34:39
real_2,93,200,98.29,REAL,2025-11-02T15:34:39
real_2,94,200,117.27,REAL,2025-11-02T15:34:39
real_2,95,200,142.14,REAL,2025-11-02T15:34:39
real_2,96,200,99.16,REAL,2025-11-02T15:34:40
real_2,97,200,110.97,REAL,2025-11-02T15:34:40
real_2,98,200,96.38,REAL,2025-11-02T15:34:40
real_2,99,200,676.23,REAL,2025-11-02T15:34:40
real_2,100,200,91.69,REAL,2025-11-02T15:34:40
